pais,entidad,relacion,objeto
bolivia,leyendas del tigre,pertenece_a,bolivia
bolivia,leyendas del tigre,primera_leyenda_dice_que,el tigre era originalmente humano
bolivia,leyendas del tigre,segunda_leyenda_dice_que,el tigre es guardián de la selva
bolivia,leyendas del tigre,tercera_leyenda_habla_del,hombre-tigre
bolivia,leyendas del tigre,trata_sobre,el jaguar o tigre americano
bolivia,leyendas del tigre,ver_un_tigre_blanco_es_presagio_de,gran fortuna o muerte inminente
bolivia,mitos y leyendas,se_encuentran_en,bolivia
bolivia,origen de la cantera de komanche,la_niña_hermosa_fue_cuidada_por,los jacha-tatas
bolivia,origen de la cantera de komanche,las_víboras_mordieron_a,la niña
bolivia,origen de la cantera de komanche,las_víboras_se_convirtieron_en,monstruos horripilantes
bolivia,origen de la cantera de komanche,laykha-awicha_castigó_a_las_serpientes,privándolas de veneno
bolivia,origen de la cantera de komanche,laykha-awicha_convirtió_a_los_jacha-tatas_en,gigantes pedrones
bolivia,origen de la cantera de komanche,laykha-awicha_criaba,serpientes
bolivia,origen de la cantera de komanche,laykha-awicha_es,"hechicera vieja, horrible y perversa"
bolivia,origen de la cantera de komanche,laykha-awicha_hizo_beber_a_wayra-tata,un elixir
bolivia,origen de la cantera de komanche,laykha-awicha_murió_de,pena
bolivia,origen de la cantera de komanche,laykha-awicha_preparó_con_los_restos_de_su_hija,un menjurje
bolivia,origen de la cantera de komanche,laykha-awicha_quedó,fecundada por wayra-tata
bolivia,origen de la cantera de komanche,laykha-awicha_transformó_a_su_hija_en,eco
bolivia,origen de la cantera de komanche,laykha-awicha_tuvo,una niña hermosa
bolivia,origen de la cantera de komanche,laykha-awicha_vivía_en,un montículo
bolivia,origen de la cantera de komanche,los_jacha-tatas_eran,diestros honderos de fuerza increíble
bolivia,origen de la cantera de komanche,los_jacha-tatas_eran,"hombres gigantes, hercúleos y formidables"
bolivia,origen de la cantera de komanche,los_jacha-tatas_podían,mover moles pétreas con mínimo esfuerzo
bolivia,origen de la cantera de komanche,los_jacha-tatas_trabajaban_por_mandato_de,wayra-tata
bolivia,origen de la cantera de komanche,los_jacha-tatas_vigilaban_a,laykha-awicha
bolivia,origen de la cantera de komanche,originó,el eco
bolivia,origen de la cantera de komanche,originó,la cantera de komanche
bolivia,origen de la cantera de komanche,originó,las culebras khotillo
bolivia,origen de la cantera de komanche,personajes_principales,los jacha-tatas
bolivia,origen de la cantera de komanche,pertenece_a,bolivia
bolivia,origen de la cantera de komanche,wayra-tata_es,dios de los vientos
bolivia,origen de la cantera de komanche,wayra-tata_maldijo_a,laykha-awicha
bolivia,pasaje santa teresa,característica,supuestamente embrujado
bolivia,pasaje santa teresa,características_ambientales,escaso tránsito
bolivia,pasaje santa teresa,características_ambientales,poca iluminación
bolivia,pasaje santa teresa,características_físicas,empedrada
bolivia,pasaje santa teresa,características_físicas,incrustaciones de huesos en piedras
bolivia,pasaje santa teresa,características_físicas,vía estrecha
bolivia,pasaje santa teresa,es,pequeña calle
bolivia,pasaje santa teresa,espíritus_invocados,expresidente melgarejo
bolivia,pasaje santa teresa,hallazgo_leyenda,cuerpo momificado de niño
bolivia,pasaje santa teresa,leyenda,monja de casa capellánica
bolivia,pasaje santa teresa,leyenda,wawa con bigotes
bolivia,pasaje santa teresa,origen_niño_momificado,romance monja y capellán
bolivia,pasaje santa teresa,práctica_en_lugar,sesiones de espiritismo
bolivia,pasaje santa teresa,reconocimiento,patrimonio de la humanidad unesco
bolivia,pasaje santa teresa,se_encuentra_en,centro histórico de sucre
bolivia,pasaje santa teresa,también_llamado,callejón santa teresa
bolivia,pasaje santa teresa,ubicación,ciudad de sucre
bolivia,pasaje santa teresa,ubicación_específica,al lado convento santa teresa
bolivia,pasaje santa teresa,une_calles,camargo y san alberto
bolivia,pasaje santa teresa,wawa_con_bigotes_apariencia,bebé con bigotes y dientes
bolivia,pasaje santa teresa,wawa_con_bigotes_año_recopilación,1947
bolivia,pasaje santa teresa,wawa_con_bigotes_efecto,víctima quedó muda
bolivia,pasaje santa teresa,wawa_con_bigotes_recopilada_por,antonio paredes candia
bolivia,qati qati,actividad,se desprende del cuerpo de noche
bolivia,qati qati,apariencia,cabeza voladora
bolivia,qati qati,asociado_con,pájaro
bolivia,qati qati,búsqueda_nocturna,agua o comida
bolivia,qati qati,causa_desprendimiento,persona duerme con hambre
bolivia,qati qati,causa_desprendimiento,persona duerme con sed
bolivia,qati qati,consecuencia_enredo,impide retorno
bolivia,qati qati,consecuencia_enredo,muerte de la persona
bolivia,qati qati,en_perú_llamado,waqya
bolivia,qati qati,es,personaje mitológico boliviano
bolivia,qati qati,importancia_cabeza_cultura_andina,reside el alma
bolivia,qati qati,método_venganza,aplastar enemigo con peso
bolivia,qati qati,método_venganza,beber sangre de víctima
bolivia,qati qati,nombre_origen,su graznido
bolivia,qati qati,peligro,cabellos se enreden
bolivia,qati qati,presagio,muerte de familiar cercano
bolivia,qati qati,práctica_histórica,decapitación de enemigos
bolivia,qati qati,práctica_preventiva,cabello bien cepillado
bolivia,qati qati,práctica_preventiva,mujeres embarazadas duermen con cabello suelto
bolivia,qati qati,relación_con,brujos y hechiceros
bolivia,qati qati,relación_con,kari karis
bolivia,qati qati,representación_cultural,cortometraje de reynaldo yujra
bolivia,qati qati,significado_según_oblitas,persecutor empedernido
bolivia,qati qati,sonido,qat qat qat
bolivia,qati qati,sonido_en_perú,waq waq waq
bolivia,qati qati,también_llamado,katekate
bolivia,qati qati,también_llamado,kati kati
bolivia,qati qati,versión_cadáver,se levanta por venganza
bolivia,qati qati,versión_justiciera,persigue criminales
bolivia,silbaco,apariencia,ave nocturna
bolivia,silbaco,atracción,fiestas o reuniones con ruido
bolivia,silbaco,cambio_anímico,callado
bolivia,silbaco,cambio_anímico,melancólico
bolivia,silbaco,cambio_anímico,taciturno
bolivia,silbaco,característica,emite silbido quejumbroso
bolivia,silbaco,característica,invisible para ojo humano
bolivia,silbaco,causa_castigo_según_cura,bautizó a sus propios hijos
bolivia,silbaco,comportamiento_final,silbando
bolivia,silbaco,consecuencia_imitación,perder la voz
bolivia,silbaco,consecuencia_imitación,sufrir paro cardíaco
bolivia,silbaco,destino,fue incendiado atado a poste
bolivia,silbaco,efecto,asusta a quien lo escucha
bolivia,silbaco,es,ser mitológico
bolivia,silbaco,estado_civil,casado
bolivia,silbaco,horario_actividad,altas horas de noche
bolivia,silbaco,hábitat,árboles del monte
bolivia,silbaco,mala_suerte,imitar su silbido
bolivia,silbaco,movimiento,vuela velozmente
bolivia,silbaco,origen_leyenda,joven chaqueño
bolivia,silbaco,profesión_original,leñador
bolivia,silbaco,región,chaco boliviano
bolivia,silbaco,sonido,silbido largo y penetrante
bolivia,silbaco,síntoma_transformación,extremidades lánguidas
bolivia,silbaco,síntoma_transformación,flaco
bolivia,silbaco,síntoma_transformación,hambre voraz
bolivia,silbaco,síntoma_transformación,ojos saltones
bolivia,silbaco,transformación_final,surgió como ave de las llamas
bolivia,silbaco,transformación_física,cabeza colgando del torso
bolivia,silbaco,transformación_física,solo un brazo y pierna
bolivia,tokjuaj,carácter,ambivalente y contradictorio
bolivia,tokjuaj,creado_por,una deidad
bolivia,tokjuaj,creador,ajatáj señor de los demonios
bolivia,tokjuaj,cultura_origen,pueblo indígena weenhayek
bolivia,tokjuaj,enseñó,cocer alimentos
bolivia,tokjuaj,enseñó_a_weenhayek,destrezas para mantener vida
bolivia,tokjuaj,enseñó_a_weenhayek,habilidades para mantener vida
bolivia,tokjuaj,estatus,no es considerado deidad
bolivia,tokjuaj,forma_humana,moldeado en barro
bolivia,tokjuaj,función,intermediario entre dioses y humanos
bolivia,tokjuaj,función_temporal,vincula presente y pasado
bolivia,tokjuaj,historias,ambivalentes
bolivia,tokjuaj,material_creación,barro
bolivia,tokjuaj,poder,transformarse en animales
bolivia,tokjuaj,posee,habilidades sobrenaturales
bolivia,tokjuaj,posee,inteligencia
bolivia,tokjuaj,proveyó_a_humanidad,agua
bolivia,tokjuaj,proveyó_a_humanidad,fuego
bolivia,tokjuaj,proveyó_a_humanidad,lluvia
bolivia,tokjuaj,puede_ser,bienhechor
bolivia,tokjuaj,puede_ser,burlado
bolivia,tokjuaj,puede_ser,burlador
bolivia,tokjuaj,puede_ser,destructor
bolivia,tokjuaj,segunda_forma,perro
bolivia,tokjuaj,también_llamado,tacuash
bolivia,tokjuaj,también_llamado,tok'uaj
bolivia,tokjuaj,también_llamado,tokhuah
chile,alicanto,alas_brillan,según metal que coma
chile,alicanto,alas_brillan_doradas,si come oro
chile,alicanto,alas_brillan_plateadas,si come plata
chile,alicanto,característica,relacionada con metales preciosos
chile,alicanto,condición_para_guiar,minero debe ser honesto
chile,alicanto,es,símbolo regional
chile,alicanto,función,protector de tesoros minerales
chile,alicanto,guía_a,mineros a vetas
chile,alicanto,habita_en,zonas mineras
chile,alicanto,leyenda_sirve,advertir sobre codicia
chile,alicanto,no_puede,volar cuando está lleno
chile,alicanto,pertenece_a,mitología chilena
chile,alicanto,popular_en,folclore del norte chileno
chile,alicanto,puede_hacerse,invisible
chile,alicanto,región,desierto de atacama
chile,alicanto,representa,riqueza mineral de atacama
chile,alicanto,se_alimenta_de,oro y plata
chile,alicanto,si_minero_es_codicioso,lo pierde en desierto
chile,alicanto,tipo,ave mítica
chile,atahualpa,capturado_en,cajamarca
chile,atahualpa,capturado_por,conquistadores españoles
chile,atahualpa,contexto,conquista española
chile,atahualpa,ejecutado,meses después de captura
chile,atahualpa,era,príncipe inca
chile,atahualpa,figura_histórica,convertida en leyenda
chile,atahualpa,fue,último soberano independiente tahuantinsuyo
chile,atahualpa,función,caudillo militar
chile,atahualpa,guerra,civil incaica
chile,atahualpa,importancia,última resistencia inca
chile,atahualpa,legado,en norte de chile
chile,atahualpa,líder_español,francisco pizarro
chile,atahualpa,muerte,cajamarca 26 de julio 1533
chile,atahualpa,nacimiento,cuzco o quito c. 1500
chile,atahualpa,nombre_bautismal,francisco
chile,atahualpa,nunca_fue,coronado oficialmente
chile,atahualpa,relevancia_en_chile,influencia incaica en norte
chile,atahualpa,representa,fin del imperio inca
chile,atahualpa,venció_a,su hermano huáscar
chile,autoestopista fantasma,a_veces,deja objeto
chile,autoestopista fantasma,característica,desaparece sin explicación
chile,autoestopista fantasma,coincidencia,gente viajando encuentra autoestopista
chile,autoestopista fantasma,desaparece_en,vehículo en movimiento
chile,autoestopista fantasma,dispersa_por,extensa área geográfica
chile,autoestopista fantasma,durante_viaje,desaparece
chile,autoestopista fantasma,función,advertencia sobre peligros
chile,autoestopista fantasma,generalmente,mujer joven
chile,autoestopista fantasma,muchas,versiones del relato
chile,autoestopista fantasma,origen,no definido
chile,autoestopista fantasma,parte_de,folclore urbano
chile,autoestopista fantasma,presente_en,chile y otros países
chile,autoestopista fantasma,representa,miedo a lo inexplicable
chile,autoestopista fantasma,solicita,que la lleven
chile,autoestopista fantasma,también_conocida_como,muerta de la curva
chile,autoestopista fantasma,tipo,leyenda urbana
chile,autoestopista fantasma,tipo_de_relato,terror urbano
chile,autoestopista fantasma,variante_chilena,en carreteras
chile,autoestopista fantasma,vigencia,frecuentemente reportada
chile,botita negra,agradecimientos_llegan_desde,putre hasta punta arenas
chile,botita negra,agradecía_a_dios,poder estar viva
chile,botita negra,burdel,más visitado por mineros de la zona
chile,botita negra,buscó_trabajo_como,empleada doméstica
chile,botita negra,cada_8_de_agosto,aniversario del homicidio
chile,botita negra,conoció_a,dueña de burdel maría centenario
chile,botita negra,costumbre,oraba pidiendo protección
chile,botita negra,decisión,abandonar burdel
chile,botita negra,devoción,extendida a argentina
chile,botita negra,devotos_entregan,ofrendas botitas en miniatura y velas
chile,botita negra,devotos_llegan,semana a semana
chile,botita negra,edad_al_morir,27 años
chile,botita negra,enamorado_murió_en,detonación trágica
chile,botita negra,encontrada_en,punta de rieles
chile,botita negra,era,la más hermosa del burdel
chile,botita negra,es,nueva figura milagrosa del norte de chile
chile,botita negra,es_patrona_de,los pobres
chile,botita negra,es_patrona_de,los que no son recibidos
chile,botita negra,es_patrona_de,los que tienen dificultades para el pan diario
chile,botita negra,esperanza,conseguir trabajo
chile,botita negra,fecha_de_nacimiento_leyenda,8 de agosto de 1969
chile,botita negra,fue,torturada violada y descuartizada
chile,botita negra,fue_metida_en,automóvil
chile,botita negra,funerales_en,cementerio de calama
chile,botita negra,llegó_de,concepción
chile,botita negra,llevada_a,la pampa
chile,botita negra,lugar_de_devoción,cementerio de calama
chile,botita negra,lugar_de_hechicera,san pedro de atacama
chile,botita negra,lugar_específico,saliendo de chuquicamata camino a tocopilla
chile,botita negra,maría_centenario_pagó,hechicera para separar pareja
chile,botita negra,nace_en,provincia de el loa
chile,botita negra,nombre_completo,irene del carmen iturra saez
chile,botita negra,nombre_real,irene iturra
chile,botita negra,personalidad,calmada y humilde
chile,botita negra,razón_del_rechazo,temor de dueñas de casa
chile,botita negra,rechazada_por,ser muy hermosa
chile,botita negra,restos,esparcidos por el lugar
chile,botita negra,se_celebra,cada vez con mayor frecuencia
chile,botita negra,se_culpaba_diciendo,era castigo por su vida
chile,botita negra,se_enamoró_de,hombre trabajador de la zona
chile,botita negra,sentimiento_tras_muerte,tristeza y culpa
chile,botita negra,siempre_usaba,botas negras
chile,botita negra,tipo,leyenda popular
chile,botita negra,tumba_parecía,jardín poblado de especies
chile,botita negra,una_noche_fue,seguida por hombres
chile,botita negra,usaba_botas_para,ocultar cicatriz en tobillo
chile,botita negra,época_de_llegada,año 1950
chile,botita negra,único_reconocible,las botitas negras
chile,cai-cai,es,serpiente del mar destructiva
chile,cai-cai y tren-tren,batalla,provocó terremotos y maremotos
chile,cai-cai y tren-tren,explica,origen de islas y fenómenos naturales
chile,cai-cai y tren-tren,personaje,cai-cai
chile,cai-cai y tren-tren,personaje,tren-tren
chile,cai-cai y tren-tren,pertenece_a,chile
chile,cai-cai y tren-tren,región,chile central
chile,cai-cai y tren-tren,resultado,formación del archipiélago chileno
chile,caleuche,ahogados_viven,eternamente en fiesta
chile,caleuche,aparece_en,noches de niebla
chile,caleuche,apariencia,barco iluminado
chile,caleuche,castiga_a,quien lo mira directamente
chile,caleuche,castigo,torcer boca o matar
chile,caleuche,del_mapudungún,gente transformada
chile,caleuche,es,uno de mitos más famosos de chiloé
chile,caleuche,muertos_transformados_en,tripulantes
chile,caleuche,navega,por mares de chiloé
chile,caleuche,pertenece_a,mitología de chiloé
chile,caleuche,protección,no mirarlo si aparece
chile,caleuche,puede,convertirse en roca o tronco
chile,caleuche,puede,sumergirse como submarino
chile,caleuche,recoge,ahogados del mar
chile,caleuche,relacionado_con,comercio de brujos
chile,caleuche,sonido,música y fiesta a bordo
chile,caleuche,también_llamado,barco de los brujos
chile,caleuche,también_llamado,barcoiche
chile,caleuche,también_llamado,buque de arte
chile,caleuche,también_llamado,buque de fuego
chile,caleuche,también_llamado,buque fantasma
chile,caleuche,también_llamado,el marino
chile,caleuche,tipo,legendario barco fantasma
chile,caleuche,transporta,mercancías mágicas
chile,caleuche,tripulado_por,brujos
chile,caleuche,tripulado_por,muertos ahogados
chile,caleuche,ubicación,sur de chile
chile,chile,menciona_figura_histórica,atahualpa
chile,chile,menciona_mito_griego,filomela
chile,chile,menciona_mito_griego,galatea
chile,chile,tiene_mito_y_leyenda,alicanto
chile,chile,tiene_mito_y_leyenda,autoestopista fantasma
chile,chile,tiene_mito_y_leyenda,botita negra
chile,chile,tiene_mito_y_leyenda,caleuche
chile,chile,tiene_mito_y_leyenda,chupacabras
chile,chile,tiene_mito_y_leyenda,cristo de mayo
chile,chile,tiene_mito_y_leyenda,difunta correa
chile,chile,tiene_mito_y_leyenda,diosa madre
chile,chile,tiene_mito_y_leyenda,duende
chile,chile,tiene_mito_y_leyenda,ekeko
chile,chile,tiene_mito_y_leyenda,el futre
chile,chile,tiene_mito_y_leyenda,hain
chile,chile,tiene_mito_y_leyenda,hombre chancho
chile,chile,tiene_mito_y_leyenda,hombre lobo
chile,chile,tiene_mito_y_leyenda,hombre polilla
chile,chile,tiene_mito_y_leyenda,huenchula
chile,chile,tiene_mito_y_leyenda,isla friendship
chile,chile,tiene_mito_y_leyenda,la llorona
chile,chile,tiene_mito_y_leyenda,la morena
chile,chile,tiene_mito_y_leyenda,la quintrala
chile,chile,tiene_mito_y_leyenda,laguna del inca
chile,chile,tiene_mito_y_leyenda,las campanas de rere
chile,chile,tiene_mito_y_leyenda,leyenda de los payachatas
chile,chile,tiene_mito_y_leyenda,leyenda del diluvio araucano
chile,chile,tiene_mito_y_leyenda,sacerdote sin cabeza
chile,chile,tiene_mito_y_leyenda,tololo pampa
chile,chupacabras,al_estar_de_pie,similar a canguro
chile,chupacabras,altura,entre 1.20 a 1.50 metros
chile,chupacabras,animales_enfermos_de,sarna
chile,chupacabras,avistamientos_en,lugares lejanos a isla
chile,chupacabras,avistamientos_fuera_de_américa,españa filipinas rusia
chile,chupacabras,biólogos_describen,leyenda urbana contemporánea
chile,chupacabras,característica,hilera de espinas
chile,chupacabras,carente_de,pelo
chile,chupacabras,color,gris verdoso con manchas negras
chile,chupacabras,columna_vertebral,pronunciada
chile,chupacabras,comportamiento,ataca animales
chile,chupacabras,cuencas_oculares,inusualmente profundas
chile,chupacabras,descripción,criatura pesada
chile,chupacabras,descripción_actual,raza extraña de perro salvaje
chile,chupacabras,descripción_común,parecido a reptil
chile,chupacabras,en_chile,reportado como otros países
chile,chupacabras,en_méxico_y_estados_unidos,verificados como perros con sarna
chile,chupacabras,espinas,afiladas a lo largo de espalda
chile,chupacabras,espinas,desde cuello hasta base de cola
chile,chupacabras,falta_de,pruebas
chile,chupacabras,heridas_características,tres agujeros en triángulo invertido
chile,chupacabras,heridas_primer_ataque,tres punzantes en pecho
chile,chupacabras,mayoría_avistamientos,descartados o no confirmados
chile,chupacabras,mayoría_de_informes,américa del norte
chile,chupacabras,método,chupa sangre
chile,chupacabras,nombre_proviene_de,hábitos hematófagos
chile,chupacabras,ojos,enormes rojos brillan en oscuridad
chile,chupacabras,origen_del_mito,puerto rico 1995
chile,chupacabras,países_con_avistamientos,argentina bolivia brasil chile
chile,chupacabras,países_con_avistamientos,colombia costa rica cuba
chile,chupacabras,piel,coriácea o escamosa
chile,chupacabras,posee,colmillos y garras
chile,chupacabras,primer_reporte,ocho ovejas muertas
chile,chupacabras,primeros_ataques,marzo 1995 en puerto rico
chile,chupacabras,se_cree_ataca,animales domésticos especialmente cabras
chile,chupacabras,succiona,toda sangre del cuerpo
chile,chupacabras,tamaño,como oso pequeño
chile,chupacabras,tipo,críptido legendario
chile,chupacabras,vacía_de,sangre y ocasionalmente órganos
chile,chupacabras,zonas_de_ataque,ganaderas o rurales
chile,como se originaron las estatuillas de madera,función,albergar espíritu de ancestros
chile,como se originaron las estatuillas de madera,material,madera de toromiro sagrado
chile,como se originaron las estatuillas de madera,nombre,moai kavakava para figuras masculinas
chile,como se originaron las estatuillas de madera,origen,rey sabio que perdió seres queridos
chile,como se originaron las estatuillas de madera,pertenece_a,chile
chile,como se originaron las estatuillas de madera,preserva,conexión entre vivos y muertos
chile,como se originaron las estatuillas de madera,región,isla de pascua
chile,como se originaron las estatuillas de madera,uso,ceremonias y comunicación con muertos
chile,como un indiecito se hizo rico,ayudante,anciano misterioso espíritu protector
chile,como un indiecito se hizo rico,condición,seguir instrucciones y mantener secreto
chile,como un indiecito se hizo rico,enseñanza,importancia de gratitud y obediencia
chile,como un indiecito se hizo rico,objeto_mágico,"olla, piedra o animal encantado"
chile,como un indiecito se hizo rico,pertenece_a,chile
chile,como un indiecito se hizo rico,protagonista,indiecito muy pobre
chile,como un indiecito se hizo rico,región,chile central
chile,como un indiecito se hizo rico,resultado,transformación de pobre a rico
chile,cristo de mayo,arte,sacro barroco y colonial chileno
chile,cristo de mayo,autor,fray pedro de figueroa o.s.a
chile,cristo de mayo,custodiado_por,frailes agustinos
chile,cristo de mayo,devoción,muy arraigada
chile,cristo de mayo,escultura_tallada,en 1613
chile,cristo de mayo,figura_relacionada_con,catalina de los ríos
chile,cristo de mayo,fue,primera de autor conocido en chile
chile,cristo de mayo,importancia,religiosa y cultural
chile,cristo de mayo,nombre_oficial,señor de la agonía
chile,cristo de mayo,patrimonio,cultural e histórico
chile,cristo de mayo,procesión,tradición más antigua del país
chile,cristo de mayo,procesión_en,mayo cada año
chile,cristo de mayo,relación_con,la quintrala
chile,cristo de mayo,representa,fe colonial
chile,cristo de mayo,también_conocido_como,señor de los temblores
chile,cristo de mayo,tipo,crucifijo de madera
chile,cristo de mayo,tras_terremoto_de_1647,inició procesión anual
chile,cristo de mayo,ubicación,iglesia san agustín
chile,cristo de mayo,vigencia,procesión continúa actualmente
chile,difunta correa,creyentes_llevan,botellas con agua
chile,difunta correa,culto,no oficial pero masivo
chile,difunta correa,culto_en,todo territorio argentino
chile,difunta correa,devoción_popular,expandida a chile
chile,difunta correa,historia_extendida,a países vecinos
chile,difunta correa,milagro,bebé sobrevivió prendido a su pecho
chile,difunta correa,muerte,deshidratada en desiertos sanjuaninos
chile,difunta correa,nombre_real,deolinda correa de bustos
chile,difunta correa,ofrendas,botellas de agua
chile,difunta correa,origen,argentina
chile,difunta correa,presente_en,uruguay y chile
chile,difunta correa,principalmente_en,centro y norte argentina
chile,difunta correa,representa,fe popular
chile,difunta correa,santuarios_en,gran cantidad de poblaciones
chile,difunta correa,santuarios_en,zonas rurales
chile,difunta correa,se_le_atribuyen,milagros
chile,difunta correa,símbolo_de,sacrificio maternal
chile,difunta correa,tipo,mujer semilegendaria
chile,difunta correa,época,guerras civiles argentinas
chile,diosa madre,asociada_con,tierra y naturaleza
chile,diosa madre,conexión_con,agricultura
chile,diosa madre,culto,antiguo y extendido
chile,diosa madre,culto_vigente,en comunidades indígenas
chile,diosa madre,en_culturas_precolombinas,pachamama
chile,diosa madre,función,protectora de vida
chile,diosa madre,función_cosmogónica,creadora del mundo
chile,diosa madre,importancia,fundamental en cosmovisión
chile,diosa madre,manifestaciones,diversas según cultura
chile,diosa madre,ofrendas,para fertilidad
chile,diosa madre,patrimonio,inmaterial indígena
chile,diosa madre,presente_en,mitología chilena indígena
chile,diosa madre,presente_en,muchas culturas
chile,diosa madre,relación_con,ciclos naturales
chile,diosa madre,representa,fertilidad y creación
chile,diosa madre,representa,poder femenino
chile,diosa madre,simboliza,origen de la vida
chile,diosa madre,tipo,arquetipo universal
chile,diosa madre,veneración,desde tiempos ancestrales
chile,diosa madre,vigencia,actual en andes
chile,duende,acciones,desordena casas
chile,duende,acciones,esconde objetos
chile,duende,acciones,hace ruidos inexplicables
chile,duende,apariencia,hombrecito pequeño
chile,duende,atracción_por,mujeres jóvenes
chile,duende,atracción_por,niños
chile,duende,característica,gorro puntiagudo
chile,duende,comportamiento,travieso
chile,duende,en_cultura_popular,muy conocido
chile,duende,especialmente_en,niños
chile,duende,estatura,entre 30 cm y 1 metro
chile,duende,función_moral,advertencia a niños
chile,duende,función_social,explicar eventos inexplicables
chile,duende,gorro_generalmente,rojo o verde
chile,duende,habita_en,campos y bosques
chile,duende,habita_en,casas especialmente cocinas
chile,duende,habita_en,cuevas y huecos
chile,duende,le_gusta,dulces y comida
chile,duende,mezclado_con,creencias indígenas
chile,duende,origen_posible,tradición europea
chile,duende,parte_de,folclore chileno
chile,duende,protección,no mirarlo directamente
chile,duende,protección_dejando,comida o dulces
chile,duende,puede_causar,enfermedades
chile,duende,puede_enamorarse_de,mujeres
chile,duende,puede_ser,benefactor o malicioso
chile,duende,rostro,arrugado como anciano
chile,duende,sale_en,noche
chile,duende,señal_de_presencia,objetos perdidos
chile,duende,señal_de_presencia,ruidos nocturnos
chile,duende,si_se_enamora,las persigue
chile,duende,si_se_enoja,causa problemas mayores
chile,duende,similar_a,duendes de otras culturas
chile,duende,tipo,ser pequeño mítico
chile,duende,transmisión,oral familiar
chile,duende,variantes_regionales,en todo chile
chile,duende,vestimenta,ropa colorida
chile,duende,vigencia,aún se cuenta
chile,ekeko,aimaras_lo_adaptaron,deidad del agua
chile,ekeko,altiplano,peruano y boliviano
chile,ekeko,aspecto_blancoide,relacionado con sebastián de segurola
chile,ekeko,bultos_son,alimentos y bienes de primera necesidad
chile,ekeko,característica,le falta una sandalia en un pie
chile,ekeko,carga,gran cantidad de bultos
chile,ekeko,constitución,ligeramente grueso
chile,ekeko,cuanto_más_cargado,mayor promesa de riqueza
chile,ekeko,culturas_originarias,pucará y tiahuanaco
chile,ekeko,del_aimara,iqiqu
chile,ekeko,desnudez_era,símbolo de fertilidad
chile,ekeko,durante,cerco de túpac katari
chile,ekeko,en_bolivia_creencia,concede deseos
chile,ekeko,en_colonia_culto,tomó nueva fuerza en la paz
chile,ekeko,en_inicios,era de piedra jorobado
chile,ekeko,es,ídolo que provee abundancia
chile,ekeko,es_símbolo_de,abundancia
chile,ekeko,es_símbolo_de,fecundidad y alegría
chile,ekeko,estatuilla_tiene,orificio en boca
chile,ekeko,expresión,sonriente
chile,ekeko,familias_peruanas,tienen ekeko en casa
chile,ekeko,forma,hombre de corta estatura
chile,ekeko,iglesia_católica,intentó erradicar su culto
chile,ekeko,imagen,sufrió cambios fue vestida
chile,ekeko,imagen_aparece_en,boletos de lotería
chile,ekeko,incas_lo_convirtieron,símbolo de fertilidad y buena suerte
chile,ekeko,inicialmente_tenía,rasgos indígenas
chile,ekeko,manifestación_cultural,característica del altiplano andino
chile,ekeko,no_llevaba,vestimenta
chile,ekeko,orificio_para,introducir cigarrillo o puro encendido
chile,ekeko,origen,culturas prehispánicas sudamericanas
chile,ekeko,rasgos_cambiaron_a,mestizo
chile,ekeko,recibe_culto_en,occidente andino de bolivia
chile,ekeko,regiones,sur del perú norte de chile y argentina
chile,ekeko,representación_original,del rayo y la felicidad
chile,ekeko,se_deja,dinero a su lado
chile,ekeko,se_le_tributa,hoja de coca
chile,ekeko,se_le_tributa,ofrendas de cigarrillos
chile,ekeko,se_mantiene,cigarro encendido en boca
chile,ekeko,según_arqueólogo_ponce_sanginés,etapa iv-v tiahuanaco
chile,ekeko,si_ofrenda_es,copia en miniatura
chile,ekeko,son,amuletos para atraer prosperidad
chile,ekeko,también_escrito,equeco
chile,ekeko,también_viste,ropa de ejecutivo o negocio
chile,ekeko,también_viste,ropa de mendigo
chile,ekeko,tradición_de_adoración,tiempo prehispánico
chile,ekeko,vestido_con,ropas típicas del altiplano
chile,el alicanto,con_minero_codicioso,lo desorienta hacia peligros
chile,el alicanto,con_minero_humilde,lo guía a vetas ricas
chile,el alicanto,conoce,ubicación de vetas de minerales
chile,el alicanto,es,ave fabulosa de regiones mineras
chile,el alicanto,pertenece_a,chile
chile,el alicanto,plumaje,brilla dorado o plateado según mineral
chile,el alicanto,región,chile central y norte minero
chile,el alicanto,representa,esperanza y peligro de la codicia
chile,el alicanto,se_alimenta_de,oro y plata
chile,el basilisco,aliento,venenoso que contamina todo
chile,el basilisco,apariencia,cuerpo de serpiente y cabeza de gallo
chile,el basilisco,causa,enfermedades y debilitamiento a habitantes
chile,el basilisco,destrucción,con espejo reflejando su mirada
chile,el basilisco,incubado_por,sapo o serpiente bajo el fogón
chile,el basilisco,mirada,letal y petrificante
chile,el basilisco,nace_de,huevo puesto por gallo viejo
chile,el basilisco,pertenece_a,chile
chile,el basilisco,región,chile central
chile,el caleuche,actividad,comercio de mercancías
chile,el caleuche,aparece_en,noches con neblina densa
chile,el caleuche,castiga_a,quienes revelan su existencia
chile,el caleuche,es,buque fantasma mágico
chile,el caleuche,pertenece_a,chile
chile,el caleuche,poderes,"sumergirse, hacerse invisible, transformarse"
chile,el caleuche,región,chile central y costas de chiloé
chile,el caleuche,representa,misterio del mar y riquezas inexplicables
chile,el caleuche,tripulantes,brujos poderosos y almas de ahogados
chile,el camahueto destructor,al_emerger,provoca temblores y destrucción
